design,n_free,field_pN,field_oxdna,direction,tau_steps,A_inf_nm,bp_min,converged,melted,n_frames
test343_1duplex,84,1.0,0.02056,axis_z,,7.9818,0.9286,False,False,100
test343_1duplex,84,1.0,0.02056,perp_x,3575.741491294555,4.5238,0.9524,True,False,100
test343_1duplex,84,1.0,0.02056,perp_y,4242.67164657426,2.0,1.0,True,False,100
test343_1duplex,84,1.5,0.03085,axis_z,4575.846500146862,8.1405,0.9286,True,False,100
test343_1duplex,84,1.5,0.03085,perp_x,2695.0556666367406,3.7649,0.9286,True,False,100
test343_1duplex,84,1.5,0.03085,perp_y,2560.581891978546,2.3422,0.9524,True,False,100
test343_1duplex,84,2.0,0.04113,axis_z,3765.6520190120414,8.1039,0.8095,True,False,100
test343_1duplex,84,2.0,0.04113,perp_x,3584.863642342903,6.3317,0.8333,True,False,100
test343_1duplex,84,2.0,0.04113,perp_y,3385.375735414667,4.354,0.8333,True,False,100
test343_1duplex,84,2.5,0.05141,axis_z,4309.086197936211,11.6088,0.6429,True,False,100
test343_1duplex,84,2.5,0.05141,perp_x,3399.9398755899174,7.825,0.7381,True,False,100
test343_1duplex,84,2.5,0.05141,perp_y,3196.2640330538584,5.9609,0.7381,True,False,100
test343_1duplex,84,3.0,0.06169,axis_z,4107.841392748677,13.0867,0.5952,True,False,100
test343_1duplex,84,3.0,0.06169,perp_x,4408.030853527687,12.6752,0.5238,True,False,100
test343_1duplex,84,3.0,0.06169,perp_y,4062.57840768444,8.8103,0.5952,True,False,100
6hb_6helix,462,1.0,0.02056,axis_z,,91.3678,0.9524,False,False,100
6hb_6helix,462,1.0,0.02056,perp_x,,90.3616,0.9524,False,False,100
6hb_6helix,462,1.0,0.02056,perp_y,,88.9433,0.9524,False,False,100
6hb_6helix,462,1.5,0.03085,axis_z,,108.0864,0.9444,False,False,100
6hb_6helix,462,1.5,0.03085,perp_x,,106.5379,0.9524,False,False,100
6hb_6helix,462,1.5,0.03085,perp_y,,106.8341,0.9484,False,False,100
6hb_6helix,462,2.0,0.04113,axis_z,,116.6034,0.9444,False,False,100
6hb_6helix,462,2.0,0.04113,perp_x,,118.6236,0.9524,False,False,100
6hb_6helix,462,2.0,0.04113,perp_y,,115.956,0.9325,False,False,100
6hb_6helix,462,2.5,0.05141,axis_z,,126.9381,0.9524,False,False,100
6hb_6helix,462,2.5,0.05141,perp_x,,123.4489,0.9524,False,False,100
6hb_6helix,462,2.5,0.05141,perp_y,,125.0532,0.9444,False,False,100
6hb_6helix,462,3.0,0.06169,axis_z,,129.2363,0.9405,False,False,100
6hb_6helix,462,3.0,0.06169,perp_x,,128.468,0.9524,False,False,100
6hb_6helix,462,3.0,0.06169,perp_y,,128.4203,0.9405,False,False,100
