2026-06-14 13:01:36  job=e29d1e5d5ace  VERDICT=PREPARING  status=MdStatus.preparing  seg=0/0:-  xsc=None(prev None)  C1'=- WC=-  namd=False launcher=True
2026-06-14 13:11:37  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=None(prev None)  C1'=- WC=-  namd=False launcher=True
2026-06-14 13:21:38  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=None(prev None)  C1'=- WC=-  namd=False launcher=True
2026-06-14 13:31:39  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=9600(prev None)  C1'=- WC=-  namd=False launcher=True
2026-06-14 13:41:40  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=9600(prev 9600)  C1'=- WC=-  namd=False launcher=True
2026-06-14 13:51:41  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=19200(prev 9600)  C1'=- WC=-  namd=False launcher=True
2026-06-14 14:01:43  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=24000(prev 19200)  C1'=- WC=-  namd=True launcher=True
2026-06-14 14:11:44  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=24000(prev 24000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 14:21:44  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=24000(prev 24000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 14:31:45  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=24000(prev 24000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 14:41:46  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=24000(prev 24000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 14:51:47  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=24000(prev 24000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 15:01:48  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=28800(prev 24000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 15:11:48  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=28800(prev 28800)  C1'=- WC=-  namd=True launcher=True
2026-06-14 15:21:49  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=38400(prev 28800)  C1'=- WC=-  namd=True launcher=True
2026-06-14 15:31:50  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=38400(prev 38400)  C1'=- WC=-  namd=True launcher=True
2026-06-14 15:41:51  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=48000(prev 38400)  C1'=- WC=-  namd=True launcher=True
2026-06-14 15:51:52  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=48000(prev 48000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 16:01:52  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=57600(prev 48000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 16:11:54  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=57600(prev 57600)  C1'=- WC=-  namd=True launcher=True
2026-06-14 16:21:54  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=57600(prev 57600)  C1'=- WC=-  namd=True launcher=True
2026-06-14 16:31:55  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=67200(prev 57600)  C1'=- WC=-  namd=True launcher=True
2026-06-14 16:41:56  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=67200(prev 67200)  C1'=- WC=-  namd=True launcher=True
2026-06-14 16:51:57  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=76800(prev 76800)  C1'=- WC=-  namd=True launcher=True
2026-06-14 17:01:58  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=76800(prev 76800)  C1'=- WC=-  namd=True launcher=True
2026-06-14 17:19:10  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=86400(prev 76800)  C1'=- WC=-  namd=True launcher=True
2026-06-14 17:29:10  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=96000(prev 86400)  C1'=- WC=-  namd=True launcher=True
2026-06-14 17:39:10  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=105600(prev 96000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 17:49:11  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=115200(prev 105600)  C1'=- WC=-  namd=True launcher=True
2026-06-14 17:59:11  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=124800(prev 115200)  C1'=- WC=-  namd=True launcher=True
2026-06-14 18:09:11  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=134400(prev 124800)  C1'=- WC=-  namd=True launcher=True
2026-06-14 18:19:12  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=144000(prev 134400)  C1'=- WC=-  namd=True launcher=True
2026-06-14 18:29:12  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=153600(prev 144000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 18:39:13  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=163200(prev 153600)  C1'=- WC=-  namd=True launcher=True
2026-06-14 18:49:13  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=172800(prev 163200)  C1'=- WC=-  namd=True launcher=True
2026-06-14 18:59:13  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=182400(prev 172800)  C1'=- WC=-  namd=True launcher=True
2026-06-14 19:09:14  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=192000(prev 182400)  C1'=- WC=-  namd=True launcher=True
2026-06-14 19:19:14  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=201600(prev 192000)  C1'=- WC=-  namd=True launcher=True
2026-06-14 19:29:14  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=211200(prev 201600)  C1'=- WC=-  namd=True launcher=True
2026-06-14 19:39:15  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=220800(prev 211200)  C1'=- WC=-  namd=True launcher=True
2026-06-14 19:49:15  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=0/12:18hb_01_300K_NPT_ENM_k0p5_p10  xsc=230400(prev 220800)  C1'=- WC=-  namd=True launcher=True
2026-06-14 19:59:16  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 230400)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 20:09:16  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 20:19:16  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 20:29:17  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 20:39:17  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 20:49:18  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 20:59:18  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 21:09:18  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 21:19:19  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True
2026-06-14 21:29:19  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 21:39:20  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 21:49:20  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 21:59:20  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 22:09:21  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 22:19:21  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 22:29:21  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 22:39:22  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 22:49:22  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=50G
2026-06-14 22:59:23  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-14 23:09:23  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-14 23:19:23  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-14 23:29:24  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-14 23:39:24  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-14 23:49:24  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=240000(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-14 23:59:25  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=249600(prev 240000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 00:09:25  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=259200(prev 249600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 00:19:26  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=268800(prev 259200)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 00:29:26  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=278400(prev 268800)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 00:39:26  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=288000(prev 278400)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 00:49:27  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=297600(prev 288000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 00:59:27  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=307200(prev 297600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 01:09:28  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=316800(prev 307200)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 01:19:28  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=326400(prev 316800)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 01:29:28  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=336000(prev 326400)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 01:39:29  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=345600(prev 336000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 01:49:29  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=355200(prev 345600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 01:59:29  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=364800(prev 355200)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 02:09:30  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=374400(prev 364800)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 02:19:30  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=384000(prev 374400)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 02:29:31  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=393600(prev 384000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 02:39:31  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=412800(prev 393600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 02:49:31  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=422400(prev 412800)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 02:59:32  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=432000(prev 422400)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 03:09:32  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=441600(prev 432000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 03:19:32  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=451200(prev 441600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=49G
2026-06-15 03:29:33  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=460800(prev 451200)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 03:39:33  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=470400(prev 460800)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 03:49:34  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=480000(prev 470400)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 03:59:34  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=489600(prev 480000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 04:09:34  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=499200(prev 489600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 04:19:35  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=508800(prev 499200)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 04:29:35  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=518400(prev 508800)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 04:39:35  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=528000(prev 518400)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 04:49:36  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=537600(prev 537600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
