position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.9,0.0624,-0.07,-0.03,-0.04
50.0,0.125,0.25,-0.05,0.3
74.9,0.1873,0.52,-0.04,0.56
100.0,0.25,0.43,-0.02,0.45
124.9,0.3123,-0.33,-0.01,-0.32
150.0,0.3751,-0.28,0.0,-0.28
174.9,0.4373,-0.03,-0.01,-0.02
200.0,0.5,-0.03,-0.04,0.01
224.9,0.5623,0.03,-0.03,0.06
250.0,0.625,0.2,-0.03,0.23
274.9,0.6873,0.15,-0.01,0.15
300.0,0.75,0.21,0.02,0.19
324.9,0.8122,0.06,-0.01,0.07
350.0,0.875,-0.16,-0.03,-0.13
374.9,0.9373,0.21,-0.02,0.23
400.0,1.0,0.37,-0.03,0.4
