position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.9,0.0624,-0.15,-0.03,-0.13
50.0,0.125,-0.36,-0.05,-0.31
74.9,0.1873,0.21,-0.04,0.25
100.0,0.25,-0.1,-0.02,-0.08
124.9,0.3123,-0.28,-0.01,-0.27
150.0,0.3751,-0.13,0.0,-0.13
174.9,0.4373,0.0,-0.01,0.02
200.0,0.5,-0.21,-0.04,-0.16
224.9,0.5623,0.28,-0.03,0.31
250.0,0.625,-0.15,-0.03,-0.12
274.9,0.6873,-0.24,-0.01,-0.23
300.0,0.75,-0.01,0.02,-0.02
324.9,0.8122,0.12,-0.01,0.12
350.0,0.875,-0.22,-0.03,-0.19
374.9,0.9373,0.16,-0.02,0.18
400.0,1.0,0.16,-0.03,0.19
