position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.7,0.0618,-2.28,-0.02,-2.26
50.0,0.1249,-2.15,-0.04,-2.11
75.0,0.1874,0.75,-0.04,0.79
99.8,0.2494,3.0,-0.02,3.03
124.8,0.3121,5.35,-0.0,5.35
149.8,0.3746,11.51,0.01,11.5
174.9,0.4373,17.57,-0.0,17.57
200.0,0.4999,22.86,-0.02,22.88
225.0,0.5625,29.87,-0.03,29.9
250.1,0.6252,38.97,-0.03,39.01
275.1,0.6876,47.96,-0.02,47.98
300.1,0.7502,56.74,0.01,56.73
325.2,0.8129,61.12,0.01,61.1
350.3,0.8756,64.15,0.0,64.15
375.4,0.9385,68.76,-0.02,68.78
400.0,1.0,67.57,-0.02,67.59
