position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.6,0.0616,2.28,-0.03,2.31
49.7,0.1243,5.69,-0.04,5.74
74.7,0.1868,10.1,-0.03,10.14
99.8,0.2495,11.75,-0.01,11.76
124.8,0.312,12.75,0.0,12.74
149.8,0.3744,12.74,0.0,12.74
174.8,0.4371,17.19,-0.02,17.2
199.7,0.4993,26.34,-0.03,26.37
224.7,0.5617,32.84,-0.03,32.87
249.9,0.6247,39.01,-0.01,39.03
275.0,0.6876,44.32,0.01,44.32
300.1,0.7503,47.79,0.01,47.78
325.0,0.8126,52.89,-0.0,52.89
350.1,0.8752,60.18,-0.02,60.21
375.2,0.938,69.34,-0.03,69.37
400.0,1.0,80.1,-0.02,80.12
