position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.6,0.0615,0.11,-0.02,0.13
49.6,0.1239,-2.24,-0.04,-2.2
74.7,0.1867,-0.86,-0.04,-0.82
99.6,0.249,0.35,-0.02,0.37
124.7,0.3118,-2.24,-0.01,-2.23
149.8,0.3744,1.66,0.0,1.66
174.7,0.4369,9.86,0.01,9.86
199.7,0.4993,12.91,-0.01,12.92
224.8,0.5619,14.48,-0.03,14.51
249.7,0.6243,16.42,-0.03,16.45
274.8,0.687,19.15,-0.02,19.17
299.7,0.7493,19.46,-0.01,19.47
324.6,0.8114,18.82,0.01,18.81
349.6,0.8741,19.2,0.01,19.19
374.8,0.9371,23.57,-0.01,23.57
400.0,1.0,25.17,-0.01,25.18
