position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.1,0.0627,1.33,-0.03,1.36
50.2,0.1256,6.55,-0.04,6.59
75.2,0.1879,13.69,-0.03,13.73
100.2,0.2505,17.4,-0.01,17.41
125.3,0.3133,19.47,0.02,19.45
150.3,0.3757,22.87,-0.01,22.88
175.2,0.438,27.27,-0.03,27.3
200.2,0.5006,30.19,-0.04,30.23
225.2,0.563,30.31,-0.02,30.33
250.2,0.6255,35.54,0.0,35.54
275.2,0.688,44.5,0.02,44.47
300.1,0.7503,48.3,-0.01,48.31
325.2,0.8131,48.46,-0.03,48.48
350.5,0.8762,47.86,-0.03,47.89
375.6,0.939,53.27,-0.01,53.28
400.0,1.0,64.23,0.01,64.22
