position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.2,0.0629,0.28,-0.02,0.29
50.3,0.1257,0.65,-0.04,0.69
75.4,0.1884,1.33,-0.04,1.36
100.3,0.2507,0.97,-0.02,1.0
125.2,0.313,0.62,-0.01,0.63
150.2,0.3755,2.64,0.01,2.64
175.2,0.438,9.63,0.01,9.63
200.1,0.5002,19.09,-0.01,19.1
225.0,0.5625,28.22,-0.03,28.25
250.0,0.6249,33.41,-0.03,33.45
274.9,0.6873,35.68,-0.02,35.7
300.0,0.7499,35.72,-0.01,35.73
325.0,0.8124,35.84,0.01,35.83
349.9,0.8747,35.76,0.01,35.75
374.9,0.9372,35.75,-0.01,35.75
400.0,1.0,35.95,-0.01,35.97
