position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.3,0.0632,6.3,-0.03,6.34
50.4,0.1259,13.86,-0.04,13.9
75.4,0.1886,20.07,-0.03,20.11
100.5,0.2512,27.51,-0.01,27.52
125.5,0.3136,31.93,0.02,31.92
150.6,0.3765,32.67,-0.01,32.68
175.8,0.4394,35.24,-0.03,35.26
200.8,0.502,38.11,-0.04,38.14
225.9,0.5648,41.85,-0.02,41.88
251.0,0.6276,47.01,0.0,47.01
276.1,0.6902,52.82,0.02,52.8
301.0,0.7524,59.9,-0.01,59.9
326.2,0.8154,67.55,-0.03,67.58
351.4,0.8784,79.47,-0.03,79.5
376.7,0.9417,90.27,-0.01,90.28
400.0,1.0,101.24,0.01,101.23
