strategy,delta,total_skips,status,healthy,bp_retained,max_backbone_stretch_nm,fene_safe,twist_diff,twist_profile_max,curvature_diff,bend_diff,twist_sim,twist_analytic,curv_sim,curv_analytic,dev_max,dev_mean,n_frames,wall_s,job_id
uniform,0,150,ok,True,0.94,1.55,True,51.4,57.71,1.7158,16.35,51.4,-0.0,1.7223,0.0065,7.529,2.692,400,1873.5,d66341b955ba
incremental,0,150,ok,True,0.94,1.55,True,51.4,57.71,1.7158,16.35,51.4,-0.0,1.7223,0.0065,7.529,2.692,400,1873.5,d66341b955ba
deviation,0,150,ok,True,0.94,1.55,True,51.4,57.71,1.7158,16.35,51.4,-0.0,1.7223,0.0065,7.529,2.692,400,1873.5,d66341b955ba
uniform,-4,78,ok,True,0.979,1.5,True,56.78,60.11,1.1085,9.6,56.75,-0.03,1.1153,0.0068,8.556,2.012,400,1854.5,3fd29ef29e16
incremental,-4,78,ok,True,0.995,1.52,True,51.59,54.35,0.8928,15.68,51.56,-0.03,0.8996,0.0068,8.508,1.906,400,1872.0,9939a6036df7
uniform,-3,96,ok,True,0.964,1.52,True,97.33,101.23,1.3536,37.19,97.29,-0.03,1.5157,0.1622,12.585,2.615,400,1831.1,a4a17d39bfbd
incremental,-3,96,ok,True,0.978,1.52,True,60.6,64.22,1.0329,19.14,60.57,-0.03,1.195,0.1622,8.581,2.041,400,1855.5,aca6c8bc5f7f
uniform,-2,114,ok,True,0.94,1.49,True,47.25,53.95,1.3572,16.89,47.23,-0.03,1.364,0.0068,8.894,2.033,400,1888.8,43e9cb3a55ca
incremental,-2,114,ok,True,0.947,1.51,True,68.09,75.5,1.139,5.85,68.06,-0.03,1.1458,0.0068,9.673,2.277,400,1820.6,87738b9bd788
uniform,-1,132,ok,True,0.934,1.52,True,89.94,98.53,1.257,8.59,89.93,-0.01,1.2635,0.0065,10.448,2.817,400,1798.3,21e3765d6ada
incremental,-1,132,ok,True,0.934,1.49,True,83.99,90.69,0.9793,2.79,83.97,-0.01,0.9858,0.0065,8.7,2.396,400,1845.6,819cd55ae4cd
uniform,1,168,ok,True,0.943,1.52,True,49.5,55.25,1.0374,6.53,49.51,0.01,1.044,0.0065,8.439,2.491,400,1842.8,84c4f13540aa
incremental,1,168,ok,True,0.945,1.51,True,50.31,57.88,1.2086,1.23,50.32,0.01,1.2151,0.0065,7.522,2.626,400,1838.8,2c78087a5ff1
uniform,2,186,ok,True,0.949,1.5,True,55.13,60.61,0.9517,1.03,55.14,0.01,0.9582,0.0066,6.079,2.274,400,1861.0,1e9c8c99ef96
deviation,1,168,ok,True,0.937,1.5,True,48.54,56.37,1.2069,4.35,48.55,0.01,1.2135,0.0065,8.36,2.512,400,1836.6,25c8f33f20aa
deviation,-1,132,ok,True,0.929,1.54,True,74.0,80.12,0.9965,4.49,73.98,-0.01,1.003,0.0065,10.09,2.792,400,1824.8,982963ba54f8
deviation,-2,114,ok,True,0.924,1.53,True,85.44,94.81,1.3486,25.64,85.42,-0.03,1.3554,0.0068,11.121,2.756,400,1938.3,4c52bfa735ad
incremental,2,186,ok,True,0.938,1.5,True,56.55,63.64,1.1225,9.55,56.56,0.01,1.1291,0.0066,8.217,2.639,400,1864.7,bd48f718c919
uniform,3,204,ok,True,0.947,1.47,True,30.2,35.97,0.8479,2.1,30.21,0.01,0.8548,0.0069,6.247,2.082,400,1861.3,bb799b39cd61
incremental,3,204,ok,True,0.968,1.56,True,20.8,25.18,0.9438,4.13,20.81,0.01,0.9507,0.0069,6.595,1.801,400,1892.5,f3b6aa0e9d22
uniform,4,222,ok,True,0.96,1.51,True,46.21,52.53,0.9714,3.24,46.21,-0.0,0.9783,0.0069,6.284,2.239,400,1872.8,69ca22c52509
incremental,4,222,ok,True,0.962,1.52,True,-3.25,5.21,1.1131,4.05,-3.25,-0.0,1.12,0.0069,5.338,1.532,400,1866.8,15a4b45e9b20
deviation,2,186,ok,True,0.947,1.53,True,57.57,68.78,1.0126,5.3,57.59,0.01,1.0192,0.0066,6.694,2.501,400,1872.1,9c62bc2099c8
deviation,3,204,relax_failed,,,,,,,,,,,,,,,,2605.2,a794928468fe
deviation,4,222,ok,True,0.944,1.5,True,59.33,67.75,1.266,16.29,59.33,-0.0,1.2729,0.0069,7.108,2.898,400,1859.2,cb03c122a3b9
