sweep,helix,delta,count,total_skips,twist_deg,bend_deg,rmsd_nm,dev_max_nm,dev_mean_nm,n_core,solve_s,error
axis,h_XY_0_0,-6,4,174,15.18,4.775,0.6349,1.8947,0.5675,14052,363.3,
axis,h_XY_0_0,-4,6,176,14.868,3.202,0.5348,1.5574,0.4779,14048,369.2,
axis,h_XY_0_0,-8,2,172,15.552,6.295,0.7536,2.2387,0.6707,14056,378.7,
axis,h_XY_0_0,-2,8,178,14.534,1.851,0.4657,1.2303,0.4093,14044,372.7,
axis,h_XY_0_0,-1,9,179,14.382,1.084,0.4475,1.0735,0.3869,14042,374.7,
axis,h_XY_0_0,1,11,181,14.081,1.02,0.4509,1.0805,0.3903,14038,377.2,
axis,h_XY_0_0,2,12,182,13.967,1.645,0.4721,1.2265,0.4162,14036,369.3,
axis,h_XY_0_0,6,16,186,13.404,4.51,0.6499,1.8865,0.5872,14028,363.7,
axis,h_XY_0_0,4,14,184,13.652,3.021,0.5462,1.5457,0.4915,14032,367.2,
axis,h_XY_0_0,8,18,188,13.169,6.043,0.7713,2.2398,0.6957,14024,369.2,
axis,h_XY_0_0,16,26,196,12.07,11.821,1.3316,3.7145,1.1863,14008,372.6,
axis,h_XY_0_0,12,22,192,12.6,8.904,1.0422,2.9682,0.9339,14016,377.3,
axis,h_XY_0_0,20,30,200,11.426,14.832,1.6301,4.4733,1.4461,14000,374.2,
axis,h_XY_0_1,-8,2,172,16.237,5.822,0.7189,2.188,0.6364,14056,378.4,
axis,h_XY_0_1,-4,6,176,15.191,2.929,0.5253,1.5257,0.4667,14048,366.5,
axis,h_XY_0_1,-2,8,178,14.699,1.736,0.4646,1.2166,0.4065,14044,366.6,
axis,h_XY_0_1,-6,4,174,15.723,4.372,0.6134,1.8472,0.5452,14052,374.7,
axis,h_XY_0_1,-1,9,179,14.441,1.026,0.4481,1.0676,0.3866,14042,374.8,
axis,h_XY_0_1,2,12,182,13.673,1.588,0.4644,1.1935,0.408,14036,369.6,
axis,h_XY_0_1,1,11,181,13.928,0.941,0.448,1.0669,0.3871,14038,373.9,
axis,h_XY_0_1,4,14,184,13.164,2.932,0.5247,1.463,0.4709,14032,370.9,
axis,h_XY_0_1,6,16,186,12.599,4.204,0.612,1.7457,0.5527,14028,380.2,
axis,h_XY_0_1,12,22,192,11.062,8.398,0.9528,2.6297,0.8561,14016,361.3,
axis,h_XY_0_1,8,18,188,12.123,5.592,0.7164,2.0362,0.6469,14024,376.3,
axis,h_XY_0_1,16,26,196,9.946,11.059,1.2074,3.2324,1.079,14008,373.4,
axis,h_XY_0_1,20,30,200,8.799,13.76,1.4702,3.8406,1.3082,14000,371.5,
axis,h_XY_0_2,-4,6,176,15.285,2.954,0.5199,1.5015,0.4606,14048,365.4,
axis,h_XY_0_2,-8,2,172,16.307,5.534,0.7018,2.147,0.6194,14056,373.6,
axis,h_XY_0_2,-6,4,174,15.78,4.159,0.6024,1.8208,0.5338,14052,375.4,
axis,h_XY_0_2,-2,8,178,14.722,1.641,0.4634,1.2002,0.4047,14044,373.6,
axis,h_XY_0_2,-1,9,179,14.454,0.964,0.448,1.0595,0.3862,14042,364.4,
axis,h_XY_0_2,2,12,182,13.645,1.526,0.4619,1.1936,0.4049,14036,367.7,
axis,h_XY_0_2,1,11,181,13.915,0.873,0.4472,1.0684,0.3859,14038,375.4,
axis,h_XY_0_2,6,16,186,12.584,4.014,0.5971,1.7251,0.5383,14028,370.6,
axis,h_XY_0_2,4,14,184,13.123,2.769,0.5167,1.4551,0.4626,14032,377.7,
