candidate,n_at_13,total_skips,twist_deg,bend_deg,rmsd_nm,dev_max_nm,solve_s
12base+0@13,0,216,3.305,0.412,0.5117,0.9086,384.5
12base+1@13,1,217,2.796,0.579,0.5174,0.9295,388.5
12base+2@13,2,218,2.285,0.942,0.5241,0.9544,381.0
12base+3@13,3,219,1.783,1.028,0.5298,0.9699,386.4
12base+4@13,4,220,1.291,0.946,0.5336,0.9681,383.5
12base+5@13,5,221,0.821,0.658,0.5364,0.9539,386.3
12base+6@13,6,222,0.369,0.333,0.5403,0.9543,384.6
12base+7@13,7,223,0.064,0.921,0.5497,0.9709,391.3
12base+8@13,8,224,-0.216,0.377,0.5518,0.977,386.7
12base+9@13,9,225,-0.492,0.927,0.5614,1.0041,378.0
12base+10@13,10,226,-0.758,0.34,0.5631,0.9903,387.2
12base+11@13,11,227,-1.007,1.029,0.573,1.01,386.4
12base+12@13,12,228,-1.258,0.837,0.5768,1.0338,391.1
12base+13@13,13,229,-1.483,1.038,0.5848,1.0392,376.0
12base+14@13,14,230,-1.71,0.346,0.5867,1.0272,389.0
12base+15@13,15,231,-1.871,0.995,0.5973,1.0528,375.3
12base+16@13,16,232,-1.996,0.376,0.5984,1.0465,279.6
12base+17@13,17,233,-2.102,1.057,0.6092,1.0933,279.1
12base+18@13,18,234,-2.127,0.378,0.61,1.0604,276.8
