sweep,count,total_skips,twist_deg,bend_deg,rmsd_nm,dev_max_nm,dev_mean_nm,n_core,solve_s,error
uniform,11,198,8.792,0.267,0.4501,0.8669,0.3896,14004,373.3,
uniform,8,144,25.308,0.269,0.5806,1.4065,0.4707,14112,374.6,
uniform,13,234,-2.127,0.378,0.61,1.0604,0.5285,13932,374.7,
uniform,10,180,14.307,0.298,0.4415,0.9489,0.3772,14040,378.5,
uniform,4,72,46.475,0.373,1.1239,2.7036,0.9178,14256,380.1,
uniform,6,108,36.096,0.291,0.8321,2.0231,0.6717,14184,380.4,
uniform,9,162,19.82,0.254,0.4895,1.138,0.4064,14076,380.9,
uniform,12,216,3.305,0.412,0.5117,0.9086,0.4433,13968,381.7,
uniform,15,270,-12.732,0.347,0.8618,1.5493,0.7468,13860,370.0,
uniform,14,252,-7.478,0.298,0.7297,1.2854,0.6324,13896,372.6,
uniform,16,288,-17.873,0.534,1.0008,1.8435,0.8668,13824,376.5,
uniform,28,504,-66.721,0.887,2.7617,5.805,2.3786,13392,374.1,
uniform,18,324,-27.709,0.465,1.2893,2.4869,1.1149,13752,379.2,
uniform,24,432,-53.188,0.692,2.1758,4.4806,1.8756,13536,378.2,
uniform,20,360,-36.913,0.33,1.5841,3.1477,1.368,13680,378.7,
uniform,32,576,-77.872,1.463,3.3373,7.1112,2.8738,13248,383.3,
uniform,40,720,-94.557,2.123,4.4565,9.6528,3.8393,12960,366.2,
uniform,36,648,-87.096,1.805,3.9026,8.394,3.361,13104,371.5,
