tube,D,hollow,n_helices,helix,r_nm,dtwist_per_skip,dbend_per_skip,flags
hollow_d3,3,True,8,h_XY_0_0,3.182,-1.2331,1.3988,
hollow_d3,3,True,8,h_XY_0_1,2.25,-0.0276,0.2991,
hollow_d3,3,True,8,h_XY_0_2,3.182,-1.3746,1.3101,
hollow_d3,3,True,8,h_XY_1_0,2.25,-0.2417,0.7439,
hollow_d3,3,True,8,h_XY_1_2,2.25,-0.3372,0.9998,
hollow_d3,3,True,8,h_XY_2_0,3.182,-2.0115,1.38,
hollow_d3,3,True,8,h_XY_2_1,2.25,-0.2806,1.0306,
hollow_d3,3,True,8,h_XY_2_2,3.182,-1.445,2.1664,
hollow_d4,4,True,12,h_XY_0_0,4.773,-0.616,-0.1222,
hollow_d4,4,True,12,h_XY_0_1,3.558,0.0756,-0.3283,
hollow_d4,4,True,12,h_XY_0_2,3.558,-0.2096,-0.1517,
hollow_d4,4,True,12,h_XY_0_3,4.773,-0.4784,0.2022,
hollow_d4,4,True,12,h_XY_1_0,3.558,-0.2387,-0.4787,
hollow_d4,4,True,12,h_XY_1_3,3.558,-0.447,0.3302,
hollow_d4,4,True,12,h_XY_2_0,3.558,-0.1666,-0.366,
hollow_d4,4,True,12,h_XY_2_3,3.558,-0.1167,0.4937,
hollow_d4,4,True,12,h_XY_3_0,4.773,-0.7303,0.122,
hollow_d4,4,True,12,h_XY_3_1,3.558,-0.0128,0.0459,
hollow_d4,4,True,12,h_XY_3_2,3.558,-0.3656,0.4916,
hollow_d4,4,True,12,h_XY_3_3,4.773,-0.6209,0.8512,
hollow_d5,5,True,16,h_XY_0_0,6.364,-0.1561,0.2496,
hollow_d5,5,True,16,h_XY_0_1,5.031,-0.0028,0.1246,
hollow_d5,5,True,16,h_XY_0_2,4.5,-0.2211,0.0882,
hollow_d5,5,True,16,h_XY_0_3,5.031,-0.1937,0.2862,
hollow_d5,5,True,16,h_XY_0_4,6.364,-0.2526,0.9836,
hollow_d5,5,True,16,h_XY_1_0,5.031,-0.2899,0.0319,
hollow_d5,5,True,16,h_XY_1_4,5.031,-0.1128,0.3977,
hollow_d5,5,True,16,h_XY_2_0,4.5,-0.0085,0.0923,
hollow_d5,5,True,16,h_XY_2_4,4.5,-0.275,0.1725,
hollow_d5,5,True,16,h_XY_3_0,5.031,-0.1656,0.265,
hollow_d5,5,True,16,h_XY_3_4,5.031,-0.1988,0.0991,
hollow_d5,5,True,16,h_XY_4_0,6.364,-0.1662,0.4247,
hollow_d5,5,True,16,h_XY_4_1,5.031,-0.3521,0.5535,
hollow_d5,5,True,16,h_XY_4_2,4.5,-0.1823,0.5237,
hollow_d5,5,True,16,h_XY_4_3,5.031,-0.1976,0.5023,
hollow_d5,5,True,16,h_XY_4_4,6.364,-0.1563,0.4939,
hollow_d6,6,True,20,h_XY_0_0,7.955,-0.1007,-0.4463,
hollow_d6,6,True,20,h_XY_0_1,6.56,-0.0269,-0.159,
hollow_d6,6,True,20,h_XY_0_2,5.736,-0.1141,0.0096,
hollow_d6,6,True,20,h_XY_0_3,5.736,-0.0158,-0.0076,
hollow_d6,6,True,20,h_XY_0_4,6.56,-0.1675,-0.0973,
hollow_d6,6,True,20,h_XY_0_5,7.955,-0.0721,0.1368,
hollow_d6,6,True,20,h_XY_1_0,6.56,-0.1304,0.0144,
hollow_d6,6,True,20,h_XY_1_5,6.56,-0.1511,0.0556,
hollow_d6,6,True,20,h_XY_2_0,5.736,-0.0361,0.0054,
hollow_d6,6,True,20,h_XY_2_5,5.736,-0.0668,0.1425,
hollow_d6,6,True,20,h_XY_3_0,5.736,-0.1479,0.0302,
hollow_d6,6,True,20,h_XY_3_5,5.736,-0.1206,0.1023,
hollow_d6,6,True,20,h_XY_4_0,6.56,-0.0454,-0.4125,
hollow_d6,6,True,20,h_XY_4_5,6.56,-0.0971,0.247,
hollow_d6,6,True,20,h_XY_5_0,7.955,-0.1504,-0.4057,
hollow_d6,6,True,20,h_XY_5_1,6.56,-0.1337,-0.3948,
hollow_d6,6,True,20,h_XY_5_2,5.736,-0.1621,-0.2717,
hollow_d6,6,True,20,h_XY_5_3,5.736,-0.011,0.0146,
hollow_d6,6,True,20,h_XY_5_4,6.56,-0.1748,0.0903,
hollow_d6,6,True,20,h_XY_5_5,7.955,-0.0295,0.1918,
solid_d2,2,False,4,h_XY_0_0,1.591,-2.2677,3.44,
solid_d2,2,False,4,h_XY_0_1,1.591,-2.6107,4.7178,
solid_d2,2,False,4,h_XY_1_0,1.591,-1.9759,3.7406,
solid_d2,2,False,4,h_XY_1_1,1.591,-1.5363,5.1329,
solid_d3,3,False,9,h_XY_0_0,3.182,-0.3385,1.4439,scaffold not single (2)
solid_d3,3,False,9,h_XY_0_1,2.25,-0.8554,0.7797,scaffold not single (2)
solid_d3,3,False,9,h_XY_0_2,3.182,-0.5126,1.4777,scaffold not single (2)
solid_d3,3,False,9,h_XY_1_0,2.25,-0.875,1.3094,scaffold not single (2)
solid_d3,3,False,9,h_XY_1_1,,-1.1403,0.0103,scaffold not single (2)
solid_d3,3,False,9,h_XY_1_2,2.25,-1.0106,1.4614,scaffold not single (2)
solid_d3,3,False,9,h_XY_2_0,3.182,-0.5506,1.6378,scaffold not single (2)
solid_d3,3,False,9,h_XY_2_1,2.25,-0.8864,1.2297,scaffold not single (2)
solid_d3,3,False,9,h_XY_2_2,3.182,-0.246,2.1284,scaffold not single (2)
solid_d4,4,False,16,h_XY_0_0,4.773,-0.1173,0.4251,
solid_d4,4,False,16,h_XY_0_1,3.558,-0.298,0.2876,
solid_d4,4,False,16,h_XY_0_2,3.558,-0.3893,0.4734,
solid_d4,4,False,16,h_XY_0_3,4.773,-0.1237,1.1785,
solid_d4,4,False,16,h_XY_1_0,3.558,-0.4134,0.4652,
solid_d4,4,False,16,h_XY_1_1,1.591,-0.4601,0.1711,
solid_d4,4,False,16,h_XY_1_2,1.591,-0.5231,0.1598,
solid_d4,4,False,16,h_XY_1_3,3.558,-0.328,1.0413,
solid_d4,4,False,16,h_XY_2_0,3.558,-0.2809,0.5808,
solid_d4,4,False,16,h_XY_2_1,1.591,-0.4452,0.1358,
solid_d4,4,False,16,h_XY_2_2,1.591,-0.4568,0.1235,
solid_d4,4,False,16,h_XY_2_3,3.558,-0.3371,0.7963,
solid_d4,4,False,16,h_XY_3_0,4.773,-0.1305,0.6949,
solid_d4,4,False,16,h_XY_3_1,3.558,-0.3659,0.2933,
solid_d4,4,False,16,h_XY_3_2,3.558,-0.3523,0.4627,
solid_d4,4,False,16,h_XY_3_3,4.773,-0.0948,1.063,
