crossover_id,site_class,source_helix,destination_helix,bp,n_samples,n_valid,n_stable,valid_fraction,mean_azimuth_deg,mean_polar_deg,resultant_length,mean_vector_ih_ax_perp,mean_direction_ih_ax_perp
f9b2871b-2421-430b-a5a3-5a0e959f64cd,reciprocal_lower,h_XY_1_0,h_XY_2_0,34,509,506,484,0.9941060903732809,159.6776702565747,67.34042842164038,0.7666872398699452,"[-0.6634670612886566, 0.29537008881453347, 0.2457179134659978]","[-0.8653685972407756, 0.3852549950676598, 0.32049302595368545]"
0ac02136-e3f0-4ae3-8282-f1b335b094fc,reciprocal_upper,h_XY_2_0,h_XY_2_1,28,509,500,497,0.9823182711198428,-166.85617718776302,110.4736326702151,0.7643831175979355,"[-0.6973393829156124, -0.26736309156401034, -0.1628383025364333]","[-0.9122904036747864, -0.3497762907221127, -0.21303231166087322]"
536929b8-d7a1-47e2-b5dd-c5451e6081e6,reciprocal_lower,h_XY_2_1,h_XY_3_1,34,509,508,504,0.9980353634577603,143.6936604641783,66.79860825342206,0.7781532414555288,"[-0.5763697347239128, 0.3065645470951757, 0.4234838539382141]","[-0.7406892421932451, 0.3939642357869633, 0.5442165262282931]"
3a612d78-eaef-4381-8680-a1e2de1c210e,reciprocal_upper,h_XY_3_1,h_XY_3_2,28,509,509,509,1.0,-132.62819604015039,129.39915424062056,0.9067212503599739,"[-0.474515326441096, -0.5755133019564191, -0.5155221334705951]","[-0.523330986510695, -0.6347191065919507, -0.5685563598139226]"
103ece6f-67c3-4c86-b1e6-9b1fde77deaa,reciprocal_lower,h_XY_1_0,h_XY_2_0,76,509,509,509,1.0,154.59471132578452,67.72528784416866,0.7820225567907534,"[-0.6536841742405839, 0.29642391061490897, 0.3104660124598465]","[-0.8358891550688236, 0.37904777559277414, 0.3970039096236942]"
a37c0f40-d971-4185-883b-7074af3b81d5,reciprocal_upper,h_XY_2_0,h_XY_2_1,70,509,506,506,0.9941060903732809,-138.0935687005334,74.66126726529912,0.705905970264384,"[-0.5066470621871279, 0.18672980763075817, -0.4546910733390683]","[-0.717725991178928, 0.2645250436978483, -0.6441241362058068]"
3201b3a5-cfa9-4023-a894-00d1dbe6045f,reciprocal_lower,h_XY_2_1,h_XY_3_1,76,509,509,509,1.0,141.32100268851872,80.55358496050661,0.9545718898051722,"[-0.7350904550409102, 0.1566692316863916, 0.588476225141476]","[-0.7700734359472307, 0.1641251259958721, 0.6164818296310651]"
80bd169c-b4cb-4e0c-99aa-28c5d22887a2,reciprocal_upper,h_XY_3_1,h_XY_3_2,70,509,437,436,0.8585461689587426,-167.35311950503007,113.22040467021702,0.8003349923107631,"[-0.7176590120455166, -0.31554744920022143, -0.16103244905967173]","[-0.8966982812702707, -0.3942692150560088, -0.2012063081169694]"
8277b98a-5711-4c34-beeb-b0c446d874ce,reciprocal_lower,h_XY_1_0,h_XY_2_0,97,509,504,501,0.9901768172888016,142.69560163265166,110.42556879378718,0.8943292305148667,"[-0.6666469215386241, -0.3121122118964757, 0.5079297409499453]","[-0.745415557036903, -0.34899028372000346, 0.5679449173963925]"
a0b9880e-f97f-4f88-a67f-433cd2db6b92,reciprocal_upper,h_XY_2_0,h_XY_2_1,91,509,497,496,0.9764243614931237,-142.83773545754642,29.71621440015477,0.8440373814412995,"[-0.3334291509113545, 0.7330390952216332, -0.2527405536700992]","[-0.3950407390037423, 0.868491267495614, -0.2994423697662692]"
ef4a9240-3ea5-4fe0-ab54-ecf73a6b3e93,reciprocal_lower,h_XY_2_1,h_XY_3_1,97,509,509,509,1.0,166.8732519507304,59.91563683001985,0.921293114375672,"[-0.7763537334884684, 0.46182084329238293, 0.18104527553972122]","[-0.8426783196079525, 0.5012746064050883, 0.1965121335595884]"
348ecb0f-584c-4018-88d3-90def7a83393,reciprocal_upper,h_XY_3_1,h_XY_3_2,91,509,454,403,0.8919449901768173,-139.025491974668,81.02390985957557,0.7014507393624443,"[-0.5231106071433486, 0.1094419460369963, -0.4543246558287061]","[-0.7457553008195688, 0.15602228338438875, -0.6476928889427737]"
24631961-6da3-4264-a3d6-e14c9939f67b,reciprocal_lower,h_XY_1_0,h_XY_2_0,118,509,506,506,0.9941060903732809,143.512613336102,124.82802242686381,0.7225114513401841,"[-0.47683547999844594, -0.4126372070318491, 0.35267727131941157]","[-0.6599694428565324, -0.5711151100324426, 0.48812689496509937]"
0108b201-9852-4ac1-8bce-b59610bc26dd,reciprocal_upper,h_XY_2_0,h_XY_2_1,112,509,504,504,0.9901768172888016,-153.74457754302878,117.28948650128311,0.8922844251956982,"[-0.7111639266797477, -0.4091003540066401, -0.3507909137761434]","[-0.7970148380924316, -0.4584864897949049, -0.3931379993539695]"
22269d2b-41d5-4782-b6e7-5f16c3680ed1,reciprocal_lower,h_XY_2_1,h_XY_3_1,118,509,502,472,0.9862475442043221,152.3707172216468,94.68924652843255,0.8293186812814729,"[-0.7322893308747624, -0.06779800869593898, 0.38330828457822214]","[-0.8830011277971219, -0.08175145481008182, 0.4621966117849048]"
a93b29a9-82af-4a13-b4e8-af398f01284b,reciprocal_upper,h_XY_3_1,h_XY_3_2,112,509,509,509,1.0,-124.5579244143719,133.27642938922926,0.9602276063336074,"[-0.396555928612918, -0.6582541727105103, -0.5757446444008987]","[-0.41298117862604383, -0.6855189002781245, -0.5995918473946378]"
358432c8-6cc6-4625-b45b-784fe6aad417,reciprocal_lower,h_XY_1_2,h_XY_2_2,76,509,509,509,1.0,177.83399387184213,85.07817697534978,0.9724107212101283,"[-0.9681329315892724, 0.08342934751379018, 0.03661668294898232]","[-0.9956008407481025, 0.08579640854840177, 0.037655573051903674]"
01720011-b376-498c-9bec-add33c7fe24a,reciprocal_upper,h_XY_2_2,h_XY_2_3,70,509,509,509,1.0,-172.2005840142907,55.746395568064194,0.9210266948018974,"[-0.7542361954701822, 0.5184062548313131, -0.10330967492033]","[-0.8189080726182535, 0.5628569266852972, -0.11216794855500986]"
