lineage_id,size_class,arrangement,jobs,crossovers,mean_best_periodic_propensity,mean_pct_any_reactive_corner,mean_structurally_valid_pct
00e55345847a,larger_origami,2-2,1,10,0.08431664445941611,0.06802721088435373,100.0
029a76c6a59f,2hb,2-2,1,1,0.1631132272788132,0.0,5.4
0ad7fe0f7d9f,larger_origami,2-2,1,10,0.04929207926600335,0.0,99.66666666666667
37418e309e59,larger_origami,1-1,1,28,0.01686343221102386,0.0,96.77197802197803
613dc2a5bab1,2hb,2-2,1,1,0.22846627757984647,16.666666666666664,54.0
6950d3b79138,larger_origami,1-1,1,159,0.0434789739577412,0.1166522062521276,94.53459119496856
7d5937e569c6,2hb,1-1,2,1,0.010392672767522957,0.0,39.13206357805056
7f3c3dadb527,2hb,1-2,1,1,0.037514976887174756,0.0,58.4
85d6a243d6b5,2hb,1-2,1,1,0.062206046189041825,0.6024096385542169,33.2
992ab65c0d1a,larger_origami,1-1,1,28,0.017381497692233218,0.0,99.03846153846153
9cd897159f47,2hb,1-2,1,1,0.09461592102356683,0.0,33.6
bfd050d2ce4c,2hb,2-2,1,1,0.04555394841735721,0.2,99.99999999999999
cb616816195f,larger_origami,2-2,1,10,0.11544543892817645,5.077551020408163,96.52000000000001
da4af0483372,2hb,2-2,1,1,0.043243943385408865,0.8928571428571428,22.400000000000002
e4a49b2057a5,2hb,1-1,2,1,0.0629450157537749,0.0,89.10837706703634
e6d49ff6d011,2hb,1-2,1,1,0.056419821392609114,3.571428571428571,16.8
eb4953783dd3,larger_origami,1-1,1,28,0.01929077925898148,0.0,98.07692307692308
fc12195d0636,larger_origami,2-2,1,159,0.06902072983265752,1.4744679800182119,91.37861635220125
