lineage_id,size_class,arrangement,jobs,crossovers,mean_best_periodic_propensity,mean_pct_any_reactive_corner,mean_frames_included_pct
00e55345847a,larger_origami,2-2,1,10,0.08431664445941611,0.06802721088435373,100.0
029a76c6a59f,2hb,2-2,1,1,0.05379537928102903,0.0,100.0
0ad7fe0f7d9f,larger_origami,2-2,1,10,0.0493129772804579,0.0,100.0
37418e309e59,larger_origami,1-1,1,28,0.017117424885805192,0.0,100.0
613dc2a5bab1,2hb,2-2,1,1,0.2749819397800338,16.2,100.0
6950d3b79138,larger_origami,1-1,1,159,0.04463387481904294,0.25660377358490566,100.0
7d5937e569c6,2hb,1-1,2,1,0.009989353629338586,0.0,100.0
7f3c3dadb527,2hb,1-2,1,1,0.0298012713183523,0.0,100.0
85d6a243d6b5,2hb,1-2,1,1,0.04333215107671137,0.2,100.0
992ab65c0d1a,larger_origami,1-1,1,28,0.01736373976037116,0.0,100.0
9cd897159f47,2hb,1-2,1,1,0.06837986303703739,1.0,100.0
bfd050d2ce4c,2hb,2-2,1,1,0.04555394841735721,0.2,99.99999999999999
cb616816195f,larger_origami,2-2,1,10,0.1177251142685142,4.84,100.0
da4af0483372,2hb,2-2,1,1,0.033866970924918936,1.0,100.0
e4a49b2057a5,2hb,1-1,2,1,0.06341855188436926,0.0,100.00000000000001
e6d49ff6d011,2hb,1-2,1,1,0.0590345063720204,4.0,100.0
eb4953783dd3,larger_origami,1-1,1,28,0.019125093161632634,0.0,100.0
fc12195d0636,larger_origami,2-2,1,159,0.06662448632517554,1.4377358490566035,100.0
