family,arrangement,pair_class,n_lineages,mean_candidate_pairs,mean_sum_k,sum_k_ci_lo,sum_k_ci_hi,mean_reactive_pair_events_per_100_frames,mean_any_reactive_frame_pct
24hb,0-0,designed_extra_extra,1,0.0,0.0,0.0,0.0,0.0,0.0
24hb,0-0,extra_native,1,0.0,0.0,0.0,0.0,0.0,0.0
24hb,0-0,native_native_far,1,44.46769378514227,5.802623988254702,5.802623988254702,5.802623988254702,191.2523836488861,95.82023070151432
24hb,0-0,native_native_near_insert,1,102.97019438535631,17.550793807721295,17.550793807721295,17.550793807721295,1682.281189023444,100.0
24hb,0-0,other_extra_extra,1,0.0,0.0,0.0,0.0,0.0,0.0
24hb,1-1,designed_extra_extra,1,42.0,2.524958951781758,2.524958951781758,2.524958951781758,40.8,35.199999999999996
24hb,1-1,extra_native,1,261.0,13.759763586905414,13.759763586905414,13.759763586905414,129.6,77.2
24hb,1-1,native_native_far,1,55.0,7.350948137578711,7.350948137578711,7.350948137578711,227.6,99.0
24hb,1-1,native_native_near_insert,1,121.0,17.27479288812596,17.27479288812596,17.27479288812596,1034.8,100.0
24hb,1-1,other_extra_extra,1,0.0,0.0,0.0,0.0,0.0,0.0
24hb,2-2,designed_extra_extra,1,247.99999999999997,10.23110417868104,10.23110417868104,10.23110417868104,229.00000000000003,92.80000000000001
24hb,2-2,extra_native,1,341.0,13.970286221913188,13.970286221913188,13.970286221913188,119.6,62.8
24hb,2-2,native_native_far,1,50.0,6.771256366484317,6.771256366484317,6.771256366484317,144.0,89.60000000000001
24hb,2-2,native_native_near_insert,1,127.0,17.650841410045903,17.650841410045903,17.650841410045903,1161.0,100.0
24hb,2-2,other_extra_extra,1,4.0,0.0354828955906688,0.0354828955906688,0.0354828955906688,2.2,2.1999999999999997
6hbx100,0-0,designed_extra_extra,1,0.0,0.0,0.0,0.0,0.0,0.0
6hbx100,0-0,extra_native,1,0.0,0.0,0.0,0.0,0.0,0.0
6hbx100,0-0,native_native_far,1,7.9291908184558295,1.192877569001391,1.192877569001391,1.192877569001391,70.2842922113824,70.28429221138241
6hbx100,0-0,native_native_near_insert,1,13.234732204961745,3.2102728974739336,3.2102728974739336,3.2102728974739336,582.7984149886746,100.00000000000001
6hbx100,0-0,other_extra_extra,1,0.0,0.0,0.0,0.0,0.0,0.0
6hbx100,1-1,designed_extra_extra,3,0.0,0.0,0.0,0.0,0.0,0.0
6hbx100,1-1,extra_native,3,4.333333333333333,0.17137433246899972,0.0789793212352652,0.2224609246312238,0.0,0.0
6hbx100,1-1,native_native_far,3,4.333333333333333,0.7650990649291968,0.5844809574152694,1.045368022745389,72.43589743589743,72.43589743589745
6hbx100,1-1,native_native_near_insert,3,9.666666666666666,2.8354638329108215,2.3881589596539374,3.525491370557281,576.9230769230769,100.0
6hbx100,1-1,other_extra_extra,3,0.0,0.0,0.0,0.0,0.0,0.0
