# TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTALAVG,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
0.000000000000000000e+00,1.761001489999999831e+04,4.209180760000000009e+04,5.585363730000000214e+04,9.196716000000000122e+02,-3.268650290399999823e+06,2.327169913999999990e+05,3.481769099999999889e+04,0.000000000000000000e+00,5.054635233000000007e+05,-2.379176953300000168e+06,2.972688999999999737e+02,-2.884640476600000169e+06,-2.379176953300000168e+06,2.972688999999999737e+02,5.702530000000000427e+02,6.235743999999999687e+02,8.028996935100000352e+06,5.702530000000000427e+02,6.235743999999999687e+02
1.000000000000000000e+01,1.770750360000000001e+04,4.228620120000000315e+04,5.594382239999999729e+04,8.920729999999999791e+02,-3.267699126300000120e+06,2.317901968000000052e+05,3.487731790000000183e+04,0.000000000000000000e+00,5.045967188999999780e+05,-2.379605292499999981e+06,2.967590999999999894e+02,-2.884202011400000192e+06,-2.379391122899999842e+06,2.970140000000000100e+02,-3.928974000000000046e+02,-3.386766000000000076e+02,8.029041265300000086e+06,8.867780000000000484e+01,1.424489000000000090e+02
2.000000000000000000e+01,1.751378329999999914e+04,4.195498509999999806e+04,5.591789719999999943e+04,9.107866000000000213e+02,-3.267506712100000121e+06,2.320868581999999878e+05,3.476600540000000183e+04,0.000000000000000000e+00,5.053201469999999972e+05,-2.379036249299999792e+06,2.971845999999999890e+02,-2.884356396300000139e+06,-2.379272831699999981e+06,2.970708999999999946e+02,1.371050999999999931e+02,1.941856999999999971e+02,8.029048534599999897e+06,1.048201999999999998e+02,1.596945000000000050e+02
3.000000000000000000e+01,1.755997379999999976e+04,4.218660809999999765e+04,5.589207910000000265e+04,9.053597999999999502e+02,-3.267361025200000033e+06,2.314784970000000030e+05,3.485046779999999853e+04,0.000000000000000000e+00,5.052589876999999979e+05,-2.379229052099999972e+06,2.971485999999999876e+02,-2.884488039799999911e+06,-2.379261886799999978e+06,2.970903000000000134e+02,2.563929999999999723e+02,3.093082999999999743e+02,8.029104914900000207e+06,1.427134000000000071e+02,1.970979000000000099e+02
4.000000000000000000e+01,1.778151280000000042e+04,4.228252709999999934e+04,5.596457590000000346e+04,9.311314999999999600e+02,-3.267682425100000110e+06,2.311413802999999898e+05,3.481494150000000081e+04,0.000000000000000000e+00,5.059239694000000018e+05,-2.378842386700000148e+06,2.975396999999999821e+02,-2.884766356099999975e+06,-2.379177986800000072e+06,2.971802000000000135e+02,-5.422942000000000462e+02,-4.893484000000000265e+02,8.029182381699999794e+06,5.711899999999999977e+00,5.980870000000000175e+01
5.000000000000000000e+01,1.791714789999999994e+04,4.175249349999999686e+04,5.599226559999999881e+04,9.434883999999999560e+02,-3.268170805399999954e+06,2.323636803000000073e+05,3.475562369999999646e+04,0.000000000000000000e+00,5.056895391999999993e+05,-2.378756566899999976e+06,2.974017999999999802e+02,-2.884446106099999975e+06,-2.379107750099999830e+06,2.972171000000000163e+02,7.048677999999999884e+02,7.602327999999999975e+02,8.029206725999999791e+06,1.222378999999999962e+02,1.765459999999999923e+02
6.000000000000000000e+01,1.764689890000000014e+04,4.211430619999999908e+04,5.591699659999999858e+04,9.421421000000000276e+02,-3.267911933199999854e+06,2.326596835999999894e+05,3.471574979999999778e+04,0.000000000000000000e+00,5.054357981000000145e+05,-2.378480357900000177e+06,2.972525999999999726e+02,-2.883916155999999959e+06,-2.379018122700000182e+06,2.972221999999999866e+02,-9.608055000000000518e+02,-9.042446999999999662e+02,8.029323149600000121e+06,-3.248259999999999792e+01,2.214730000000000132e+01
7.000000000000000000e+01,1.764403580000000147e+04,4.182598479999999836e+04,5.595858140000000276e+04,9.140320000000000391e+02,-3.268055372899999842e+06,2.327353479999999981e+05,3.492524190000000090e+04,0.000000000000000000e+00,5.061318622999999789e+05,-2.377920286600000225e+06,2.976619999999999777e+02,-2.884052148899999913e+06,-2.378880893199999817e+06,2.972771999999999935e+02,1.334733300000000099e+03,1.389856299999999919e+03,8.029363712500000373e+06,1.384193999999999960e+02,1.931109999999999900e+02
8.000000000000000000e+01,1.772478340000000026e+04,4.224459290000000328e+04,5.594531970000000001e+04,9.260684999999999718e+02,-3.268557332400000188e+06,2.327477753000000084e+05,3.505487099999999919e+04,0.000000000000000000e+00,5.051574037000000244e+05,-2.378756517899999861e+06,2.970889000000000237e+02,-2.883913921500000171e+06,-2.378867073700000066e+06,2.972561999999999784e+02,-1.129494500000000016e+03,-1.073089300000000094e+03,8.029585216900000349e+06,-2.459900000000000198e+00,5.242199999999999704e+01
9.000000000000000000e+01,1.775399810000000070e+04,4.208213859999999841e+04,5.592880799999999726e+04,8.961803999999999633e+02,-3.267082777999999933e+06,2.314030044000000053e+05,3.495453600000000006e+04,0.000000000000000000e+00,5.056504242000000086e+05,-2.378413688200000208e+06,2.973788000000000125e+02,-2.884064112399999984e+06,-2.378821735100000165e+06,2.972685000000000173e+02,5.247984000000000151e+02,5.795240000000000009e+02,8.029683994599999860e+06,5.026590000000000202e+01,1.051321999999999974e+02
1.000000000000000000e+02,1.769660369999999966e+04,4.215562730000000010e+04,5.586385680000000139e+04,9.298483999999999696e+02,-3.266434104799999855e+06,2.309624751000000106e+05,3.474670100000000093e+04,0.000000000000000000e+00,5.057291641999999993e+05,-2.378349828300000168e+06,2.974250999999999863e+02,-2.884078992500000168e+06,-2.378778834499999881e+06,2.972826999999999771e+02,-1.154337899999999991e+03,-1.098745100000000093e+03,8.029830154799999669e+06,-5.924349999999999739e+01,-4.311099999999999710e+00
