# TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTALAVG,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
0.000000000000000000e+00,1.761001489999999831e+04,4.209180760000000009e+04,5.585363730000000214e+04,9.196716000000000122e+02,-3.268650290500000119e+06,2.327169913999999990e+05,3.481769099999999889e+04,0.000000000000000000e+00,5.054635233000000007e+05,-2.379176953399999999e+06,2.972688999999999737e+02,-2.884640476699999999e+06,-2.379176953399999999e+06,2.972688999999999737e+02,5.702531000000000176e+02,6.235744999999999436e+02,8.028996935100000352e+06,5.702531000000000176e+02,6.235744999999999436e+02
1.000000000000000000e+00,1.762096870000000126e+04,4.214549109999999928e+04,5.589123230000000331e+04,9.182874000000000478e+02,-3.268634622299999930e+06,2.326095761000000057e+05,3.474895599999999831e+04,0.000000000000000000e+00,5.057870197000000044e+05,-2.378913091099999845e+06,2.974592000000000098e+02,-2.884700110799999908e+06,-2.379045022200000007e+06,2.973639999999999759e+02,6.841808999999999514e+02,6.303845000000000027e+02,8.028996935100000352e+06,6.272169999999999845e+02,6.269795000000000300e+02
2.000000000000000000e+00,1.771496889999999985e+04,4.201337870000000112e+04,5.591097529999999824e+04,9.006344000000000278e+02,-3.268604527799999807e+06,2.323266798999999883e+05,3.471417300000000250e+04,0.000000000000000000e+00,5.059443861000000034e+05,-2.379079331499999855e+06,2.975516999999999825e+02,-2.885023717600000091e+06,-2.379056458699999843e+06,2.974266000000000076e+02,-3.613831299999999828e+03,-3.562010499999999865e+03,8.029466676799999550e+06,-7.864657999999999447e+02,-7.693505000000000109e+02
3.000000000000000000e+00,1.781183689999999842e+04,4.200018890000000101e+04,5.592494670000000042e+04,8.736541999999999462e+02,-3.268494467600000091e+06,2.321801766000000061e+05,3.468235779999999795e+04,0.000000000000000000e+00,5.059837927999999956e+05,-2.379037513700000010e+06,2.975749000000000137e+02,-2.885021306499999948e+06,-2.379051722399999853e+06,2.974637000000000171e+02,-3.346510600000000068e+03,-3.401756800000000112e+03,8.029466676799999550e+06,-1.426477000000000089e+03,-1.427452099999999973e+03
4.000000000000000000e+00,1.760569329999999900e+04,4.198231809999999678e+04,5.595043420000000333e+04,8.713597999999999502e+02,-3.269530088099999819e+06,2.330837999000000127e+05,3.506130799999999726e+04,0.000000000000000000e+00,5.059962565000000177e+05,-2.378978918399999849e+06,2.975822000000000003e+02,-2.884975174899999984e+06,-2.379037161600000225e+06,2.974873999999999796e+02,2.175912789999999950e+04,2.181409779999999955e+04,8.026658043499999680e+06,3.210643999999999778e+03,3.220857899999999972e+03
5.000000000000000000e+00,1.778746289999999863e+04,4.199365019999999640e+04,5.599692850000000180e+04,8.931476000000000113e+02,-3.269121337700000033e+06,2.327289113000000070e+05,3.504805120000000170e+04,0.000000000000000000e+00,5.056952601000000141e+05,-2.378977925900000148e+06,2.974051999999999794e+02,-2.884673186000000220e+06,-2.379027288999999873e+06,2.974737000000000080e+02,2.099995319999999992e+04,2.094730540000000110e+04,8.026658043499999680e+06,6.175528900000000249e+03,6.175265800000000127e+03
6.000000000000000000e+00,1.784321270000000004e+04,4.212925220000000263e+04,5.603707349999999860e+04,9.120783000000000129e+02,-3.261700901500000153e+06,2.253576443000000145e+05,4.941348739999999816e+04,0.000000000000000000e+00,5.050900302999999840e+05,-2.364918122800000012e+06,2.970493000000000166e+02,-2.870008153100000229e+06,-2.377011693800000008e+06,2.974130000000000109e+02,-1.344349796999999962e+05,-1.343783992999999900e+05,8.044006758299999870e+06,-1.391168660000000091e+04,-1.390382920000000013e+04
7.000000000000000000e+00,1.774344450000000143e+04,4.223941520000000310e+04,5.601723270000000048e+04,8.997222000000000435e+02,-3.261261819600000046e+06,2.253267413999999990e+05,4.829249790000000212e+04,0.000000000000000000e+00,5.059764787999999826e+05,-2.364766287000000011e+06,2.975706000000000131e+02,-2.870742765800000168e+06,-2.375481018000000156e+06,2.974327000000000112e+02,-1.288053156000000017e+05,-1.288626906000000017e+05,8.044006758299999870e+06,-2.827339029999999912e+04,-2.827368690000000061e+04
8.000000000000000000e+00,1.715717130000000179e+04,4.176349880000000121e+04,5.594550209999999788e+04,8.773233000000000175e+02,-3.305922954700000118e+06,2.708381285999999964e+05,5.917499756999999518e+05,0.000000000000000000e+00,5.080305582999999751e+05,-1.819560796499999939e+06,2.987785999999999831e+02,-2.327591354799999855e+06,-2.313712104499999899e+06,2.975822999999999752e+02,8.354752754999999888e+05,8.355207358000000240e+05,7.937539537100000307e+06,6.769868369999999413e+04,6.770347119999999995e+04
9.000000000000000000e+00,1.724589500000000044e+04,4.184118110000000161e+04,5.596430159999999887e+04,8.877892000000000507e+02,-3.306604584300000221e+06,2.703459239999999991e+05,5.478473689000000013e+05,0.000000000000000000e+00,5.505919525000000140e+05,-1.821880172100000083e+06,3.238095000000000141e+02,-2.372472124600000214e+06,-2.264528911199999973e+06,3.002049999999999841e+02,8.021529372999999905e+05,8.021002280999999493e+05,7.937539537100000307e+06,1.411441091000000015e+05,1.411431468999999925e+05
